id,abbreviation,category,generation,name,checksum,alternative_name,platform_family
19,SNES,1.0,4.0,Super Nintendo Entertainment System,9adfe6a8-0040-ef79-94ae-493e37c5125b,"SNES, Super Nintendo",5.0
39,iOS,4.0,,iOS,fefe4a2b-7c90-0e89-e811-902ea1cf2b58,,
58,SFAM,1.0,4.0,Super Famicom,2c90189e-fbde-d856-b2c7-a1522e8caed0,SFC,5.0
63,Atari-ST,6.0,,Atari ST/STE,34e7481c-c27b-bef7-d2cf-f2e48ffcb5d7,,
75,Apple][,6.0,,Apple II,c54c78dd-0a6b-0c3e-9948-931ac9dd0845,apple ][,
82,browser,3.0,,Web browser,df2af206-71c3-ffd0-81b5-7ddab53afd54,Internet,
90,cpet,6.0,,Commodore PET,2fa2cd86-55c7-cfa7-9569-e8f0422c8d0b,,
126,,6.0,,TRS-80,fb10fc8e-0aeb-b55f-43a1-01b02aab3981,,
159,,5.0,7.0,Nintendo DSi,3e006565-8164-029f-abd3-6a9c97a22441,,5.0
487,,1.0,4.0,LaserActive,ea54806b-4bb4-6ae9-493c-bd2dc9e9ca96,,
14,Mac,4.0,,Mac,459a0ab8-6cc5-e21f-e39b-4948cd88f8e4,Mac OS,
373,,6.0,,Sinclair ZX81,be01e112-735e-82ba-0aa4-668c25834568,ZX81,
72,Ouya,1.0,8.0,Ouya,ec1994ca-3247-830f-8452-b664a411ade3,,
130,Switch,1.0,8.0,Nintendo Switch,cf324b63-af85-dd19-c415-6ec8745e41cf,NX,5.0
