id,games,name,checksum
4948,[48419],Abunai Deka,5ae849b8-9238-f462-312c-a45760116bd9
5159,"[48442, 65436]","Musashi, the Samurai Lord",a5ca9695-29ec-4a65-a722-c39c3f2442ac
1198,"[8290, 45854]",Heavy Metal,73dd654c-8966-54b0-f165-5e933044c173
2086,"[6587, 16457, 19543, 79181, 116987, 141060, 187112, 198137, 291050]",Serious Sam,46d09eaa-a832-a945-6d91-13d1236dbc92
337,"[5114, 248575, 248576]",Rango,8226a54b-e6bc-4bd7-7632-ff385a040550
4950,"[58322, 58882]",Ninja Hattori-kun,c3726f03-010e-ec78-78ec-70aa1c2365f4
170,"[3786, 6306, 7756, 19432, 70771, 198671, 200362, 228405, 228407, 248756, 309229, 313270]",Animaniacs,4bfe769a-f1cf-34b7-194e-9175aa8bab6d
204,"[3917, 228916]",Flushed Away,dd5b12a0-8556-7cf1-5476-e8957943a927
349,"[5212, 62187, 89817, 96138, 230404, 230552]",Tangled,2c2c0a8f-31f0-f795-ade8-d587ba49fb57
366,"[2283, 2963]",Dota,04271d8d-5268-a94d-bbbc-aca5a7256836
380,"[5822, 29491]",Futurama,e6782c20-21d7-fcc7-3df1-f48ba9592c8e
709,"[13658, 86426]","Wake Up, Girls!",a7b3f868-9efa-3185-ede4-40b310262156
735,[14631],Crossbow,2c56ceeb-851b-1eb5-f314-3ca19baed94e
232,"[4091, 248488, 248489, 248490]",Robots,773d916e-09c8-9252-171a-7c56f16a0f17
922,"[26375, 26376, 26377, 97404, 97408, 108737, 178047, 180149, 230276, 322884]",Moomin,7a0cf198-8705-1b36-4c13-ec6dde5f2163
109,[2824],Napoleon Dynamite,80523055-1288-f541-9e73-2a1a832dc9cc
811,[19317],Gunslinger Stratos,57edc5cf-00c3-da2d-20e7-14c4a5063a94
5528,"[89817, 96138]",Disney's Soul,8067e2a9-1475-ac19-a5ec-258f4eb1ccdc
261,"[4586, 61643, 218423]",Ace Ventura,7092400c-277d-b8ba-de3c-6b769c474b56
497,"[8336, 24252, 52005, 114138]",Ghost in the Shell,71404aea-1139-46c1-4e92-329a1ba7e3ab
671,"[11448, 13550]",Ground Control to Psychoelectric Girl,8bc22583-46f5-eda2-50d1-b05147ead733
